date,kpi001,kpi002,kpi003,kpi004,kpi005,kpi006,kpi007,kpi008,kpi009
2025-07-25,287.82208,494.7791,139399.596,28775.31,1227472344.112,157379179.24,0.0,0.0,555410544.0
2025-07-26,293.09274,499.72624,133568.39,27951.77,1174968167.763,152730559.495,13341784933.0,4786897400.0,18178435517.0
2025-07-27,294.21106,495.0275,138177.001,28891.87,1174484076.798,153905947.79,13621063102.0,4853582646.0,18523398868.0
2025-07-28,298.18667,503.83143,137653.696,28335.8,1188115765.811,155611205.747,13593711330.0,4851807139.0,18448788229.0
2025-07-29,299.18027,512.02874,138555.847,27722.27,1236098779.472,156472959.772,13523688399.0,4804257537.0,18331157456.0
2025-07-30,301.53359,512.69867,138747.198,27795.8,1337973497.883,168068094.347,13990703155.0,4880309323.0,18874190718.0
2025-07-31,301.29785,504.8949,142012.547,28422.26,1356511041.368,170880175.546,13873297625.0,4846892551.0,18723401696.0
2025-08-01,300.0957,520.39486,147351.202,28779.99,1345000167.963,166113383.52199998,13488739669.0,4791870002.0,18283812871.0
2025-08-02,298.99579,511.55395,137487.638,27669.89,1330840494.597,167848598.475,13466579061.0,4787324135.0,18257164636.0
2025-08-03,298.90821,509.28024,136929.585,27684.26,1360341998.376,173903141.873,13248670236.0,4788241166.0,18040206122.0
2025-08-04,296.59723,513.04015,136395.553,27375.98,1293929864.789,164754564.523,13794829210.0,4851314395.0,18646799221.0
2025-08-05,295.03901,521.90756,138642.474,27323.71,1255601481.55,157491791.864,13497507719.0,4818808477.0,18316968484.0
2025-08-06,295.19039,514.5209,144518.128,28319.85,1251157035.496,157942558.036,13513805260.0,4798459407.0,18312911963.0
2025-08-07,290.14191,497.62848,140693.664,27928.21,1347701203.2,170166797.436,13866340284.0,4858366086.0,18725365314.0
2025-08-08,291.28346,515.819,142630.22,28201.83,1346494434.523,166440250.339,13719274531.0,4853724342.0,18573637849.0
2025-08-09,297.61404,509.40457,142344.947,28275.8,1324215063.969,165329293.667,13274742698.0,4766448757.0,18041838751.0
2025-08-10,292.01887,490.84656,142603.014,28568.72,1223605645.1,154815306.168,13598973975.0,4841053210.0,18440671153.0
2025-08-11,291.9574,496.37879,144824.045,28624.08,1268808066.168,160140471.355,13663219213.0,4843438913.0,18511019598.0
